tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,nChamps
GRANDMASTER,Sj2W9-P9rOiv2fSsPcv8XyoBKsdsyjPhkpyO-cWXcKvGf9QW0lBbORvXvg,0amdh,468,276,227,False,False,True,False,806E2EU00XL4blcufIRspHmZB31i8ufnAjceVihtLe_woVJKQfdSvdi-,11
GRANDMASTER,hYiq6dBPG-UkEmi6uHdbGJsKNZ1J6_RJ2DJuBwh32CUQ3V0,05 JJANG,596,325,277,False,False,True,False,c0F9qWg5iEi_H_X8AoNkSNfOdZuV2OLJ8ihDIfpzKd-bZAg,5
GRANDMASTER,WkbxKmjGsognxSbKr_rpoaIThiIFKKw9rtunyC8165K-9nw,QCEZADWXSHGF1,454,276,244,False,False,False,False,UzxShjGCqNs1m7O6vRhu7VWhRdWoGcuw3RDLonx6EUTgPZg,11
GRANDMASTER,74ohQD4GKtW7KKDTY7QaOzQa3V_Vpailn1fl29iZSzIQBDFB9HCc0A_2UA,huya chumu,520,108,75,False,False,True,False,EIMfgsfHB7FTL7iF6Fi9YKuB5RdLy85Dmd3MlcPDHg465BwDkm2KlIE7,4
GRANDMASTER,h8HFP1hu86_c57T-mhD_mpxzEe8I4yoWzI77ppK2s2HLwEM,초바 모자,402,124,102,True,False,False,False,gNQvhc2HBJsWXk55Cq1tSPViTJ06TpdyPWy9oTFAsnTatZe_U2bLKp1K,8
GRANDMASTER,ppMWbsBO5Mox8zY3K7GHstfwv4uwoAJHQieBo5GQ47RHPv4,리맴버,351,261,227,False,False,False,False,cZOg26kqWhkVme-aUOXMFNpOX_lQRGNFh94NCpTh8HAX-2Y,4
GRANDMASTER,43PJsWyFsjjP_4b94AehStNOYjXN_HTpWFdraj7zuutoFek,캐뤼하다1,276,80,46,False,False,True,False,7CGlv6FMSsjjJZG_UgVXFFUJwzZf5BYBAAwgJTSrZElqiJI,7
GRANDMASTER,5hgFzak-bkQt4aWaer6a1v1nfcW5ml69tmScgS4cY7J_thRg-SBuWu9aHA,홍광이,353,130,87,False,False,False,False,Xy-adglIjH-9Pei2xbgHPaZ7Zu_j7GNPw6U6SFOF7fzLfecY9uA3iQXN,6
GRANDMASTER,DbX-YTiiiDsgIn-gbIayUQEb0PARhiWvCpXe3I5m42TMYniW,미치광이보노보노,343,89,64,False,False,True,False,vDcDnPD4qYkx2TsZItgLWBCtRTJaxtks9-fBst79vpta-9GDP2FhAqx-,6
GRANDMASTER,e54IP2Yu2GcXe1eIIInyQMRYRgWrV1sK6fmhM3aNN_G_8gU,Yukinee,338,412,390,False,False,False,False,3HsVJ1i2MGhdnJzQnDUiaCXQJHXGjBKNSE4pGNh332kaqacCqGxsjBe0,8
GRANDMASTER,j8z7nV9lLFVh6nHjWcsMTunuwqmhi2DutPyUsCJ0LGvWPqVq,상혁이의 장난감,270,218,195,False,False,False,False,G60-25D_cpu0EllIMYk4v4kuYXiaofw8Qgk42FCLzFLHue-LDKnoktud,13
GRANDMASTER,PRJPvUD3gOpGI6ZMsdN9MJUnFC6UND70iRC_pPIqChyAYZI,너무잘해서롤접음,175,387,354,False,False,True,False,SUbV3MGD3MdwcuLU5cNwVPDMwVrC2n19sgjXxfrLubfZ,3
GRANDMASTER,Jgb8RV1txy4QMp4JWB8TfrDy4pLICVH1H-I9aHo8zAqurCQ,HLE Cheoni,619,190,158,False,False,False,True,qgflGam2L5GatNoOUhHWV_8qO39PkefYnmaBKujvnehQu3A,8
