tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,XIUMoM5v-UN7oAnJpBUX__4GWxKTlz1BG6i4gBsz3v0L-1Y,빵테온의 창,17,90,86,False,False,True,False
MASTER,khvMy9ku-QfmhPRmhk79bxAqLtb05Fww_Gd_A6pgMlmuyPw,준기아기,1,92,65,False,False,True,False
MASTER,QyAtlzlE-LVkJor7PYlJisaEzvLP7XTGGsP0cKGYYgw2Lg,쿠키런홍보대사,83,111,89,False,False,False,False
MASTER,tvYbOLrPtSA1z_lokYYK-ErVrcZX510GUqLuHy_JC6HwCZAN,늦게피는꽃,226,170,154,False,False,False,False
MASTER,1Z1VF__jHz4hEnHPZZxInG_b5JaDqk8FWhH7ivPqL97Ajw,수주 정재만,71,169,156,False,False,False,False
MASTER,DGD_vB3nUKP9BHbTAE41iVg8-rnkZyrsVnJKz0GzZhP7_YY,열받게하지마,1,225,159,False,False,True,True
MASTER,x0_TJyIRDgwZOZJgV_DoM-8drdye199FnPxIZ8OrHCcND3o,직스 좀 믿어줘,115,75,62,False,False,True,False
MASTER,qzFKdNQY1NYI7Kmuicic3XE1BNmTy-35eMXAUwGbMNz1XOI,galagalagalagala,1,230,173,False,False,True,False
MASTER,1Gxcv6mpoSkJ0RADSD_HIqnIpd6SvqvqfQOXuwLbvbXDkLYtplF2bRpcCw,woyibuzai,154,150,130,False,False,False,False
MASTER,Lz82HY-DG3RuON9EyiihMJo4c59Ao3cx0iW1IUCWTkjsY8Q,FA Rumor,194,116,108,False,False,True,False
MASTER,cBMUTIpsBj_gFSqhpdZ15z14Ig2wc9ewmMXuuLR2YKhlpgw,방심했어요 앗,98,48,33,False,False,False,False
MASTER,R-ZlX29VD8moIXDisi3q1-oeT6zUAXCGamPLu44pR371LQ,째끼춘,1,161,138,False,False,True,False
MASTER,4iZNERwyLaJL16XUkd2ZSF8HDBpxXBLQ67FVw-TfmULPyso,드림캐쳐 바람아,0,58,54,False,False,True,False
MASTER,3jF5fuXOuukvF8wwxzHpY3dYTOfr8-ta29xL05P48DyO4g,BJ갈배,149,224,218,False,False,False,False
MASTER,NTXT_BviEUVnS8pl1B1DsAUYwJQe_L_k-EIkqLmdJnfWoRQ,happy Garden,0,49,32,False,False,False,False
MASTER,ohUmRDAJXx_Ob8-Q9Y_Uz5B3h7tNas6_tCfUBTp-v4Ed1Ls,s1ow motion,1,162,153,False,False,True,True
MASTER,xc6Z2i5VSqFWHN-0X_YzlPFVaNcSHLGO8MEVSz3mM64jwS4,내 애완곰 북극곰,169,162,143,True,False,False,False
MASTER,_HC3rL58fAVCCnXqhbFglN5Yw0hJek5nMMOgKWGnzy6fkAo,천대광,1,303,280,False,False,True,False
MASTER,ZlKPvOpWSo-8AKxH-YjqN2IvPlY71rg89WVaNBlSsnfa3Pc,MIDMINE,122,70,55,False,False,False,False
MASTER,G8lRd0Cjt52cvO9ZuYuVIdBKTz7nfQIFKELrF2VbH9aYUP0,I Will Survive,116,287,199,False,False,False,True
MASTER,3RpC8zJbvc3i16Joxseq_af4Gu2Zmwe5Ty63aKHqQ89tCUU,Savage,126,561,542,False,False,True,False
MASTER,0U3eIzrbg4CwKXNE1uaE38FN3dyQ2z46ISWQmVOONr-1jyU,좋아해여,38,250,228,False,False,False,False
MASTER,F7N1DkS1ZRc6KUAt1gmJsYqSi_5WIQmf8KctnnPH5-UxawJv3QDQhncxrw,미얀미얀미얀,193,179,155,False,False,False,False
MASTER,M1FPVIgblluND443aSs12aaF7yGd5CTRxBbWjt9yEulFkA,제코킥,67,133,100,False,False,False,True
MASTER,Lr5Q_PEUExKOUWQlhfzuGnJ7rq8FR2kXKYjZgAvPoPfiVqo,물의호흡 클레드,19,179,167,False,False,True,False
MASTER,ac7RUFZy53z_3955qKkoMReXwY27MbQAZxQxCOy2yv9wh94,bot game can win,57,204,193,False,False,True,False
MASTER,Ih1ERb2cLM1tGNJL15iT1HF-OSsA11XQqNXZ8TkLHhPdbg,HLE Key1,25,133,134,False,False,False,False
MASTER,JLBRAkv3G2WNwjkA2SZ5KmRNFbRCS0T24JaLZj0nUG-wDzU,Gen G Lonely,147,177,153,False,False,True,False
MASTER,nEswjgBwNLsNNhhgksz_rt0dXos_EF4MyzT4jO8M64ktQWA,담원기아김동,3,96,83,False,False,False,False
MASTER,rUCefXN3giHkzV1GjPCuKyV3j4YIVRO9hgXbvMQYrUZJmHI,즐겜O 남탓X,0,179,164,False,False,True,False
MASTER,i9layMqikwgb5xj2Jzubx_KrhWIDE4zuAn0xG1lraJC4N44,hu da shuaishuai,0,106,48,False,False,False,False
MASTER,zS-i9LohyUqzDpZdTHq8YhGZB01yAIc1bOkM40zRaNE0LRY,Soft ice cream,145,171,146,False,False,True,False
